NCBI Accession,type,proportion,number of bp
NZ_CP013086.1,prokaryote,1.77E-07,3.549986635
NZ_CP013087.1,prokaryote,2.33E-07,4.659357458
NZ_CP013088.1,prokaryote,1.55E-07,3.106238305
NZ_CP013089.1,prokaryote,2.88E-07,5.768728281
NZ_CP013090.1,prokaryote,3.99E-07,7.987469928
NZ_CP013091.1,prokaryote,3.22E-07,6.434350775
NZ_CP013092.1,prokaryote,1.77E-07,3.549986635
NZ_CP013093.1,prokaryote,2.66E-07,5.324979952
NZ_CP013094.1,prokaryote,2.77E-07,5.546854116
NZ_CP013095.1,prokaryote,2.22E-07,4.437483293
NZ_CP013096.1,prokaryote,1.55E-07,3.106238305
NZ_CP013097.1,prokaryote,2.26E-06,45.26232959
NZ_CP013101.1,prokaryote,0.000149377,2987.535627
NZ_CP013102.1,prokaryote,1.63E-05,326.8206445
NZ_CP013103.1,prokaryote,1.73E-05,345.6799485
NZ_CP013106.1,prokaryote,8.96E-05,1791.412005
NZ_CP013107.1,prokaryote,2.69E-05,538.4885976
NZ_CP013112.1,prokaryote,4.76E-06,95.18401664
NZ_CP013113.1,prokaryote,4.36E-06,87.19654671
NZ_CP013114.1,prokaryote,0.000106866,2137.313828
NZ_CP013118.1,prokaryote,0.000345591,6911.823977
NZ_CP013119.1,prokaryote,6.27E-05,1254.476527
NZ_CP013120.1,prokaryote,5.42E-05,1084.964665
NZ_CP013121.1,prokaryote,0.000180051,3601.017692
NZ_CP013124.1,prokaryote,8.88E-05,1776.324562
NZ_CP013126.1,prokaryote,1.58E-05,316.3925588
NZ_CP013127.1,prokaryote,9.20E-05,1840.889944
NZ_CP013128.1,prokaryote,6.61E-05,1322.591896
NZ_CP013129.1,prokaryote,3.81E-05,761.2502589
NZ_CP013130.1,prokaryote,0.000121509,2430.187726
NZ_CP013132.1,prokaryote,4.42E-06,88.30591753
NZ_CP013133.1,prokaryote,4.01E-05,801.4094827
NZ_CP013136.1,prokaryote,7.10E-05,1420.88215
NZ_CP013137.1,prokaryote,9.50E-06,189.9242849
NZ_CP013138.1,prokaryote,0.000122197,2443.943924
NZ_CP013141.1,prokaryote,4.52E-05,903.6934727
NZ_CP013142.1,prokaryote,5.02E-05,1003.093098
NZ_CP013145.1,prokaryote,0.000253203,5064.055934
NZ_CP013146.1,prokaryote,1.91E-06,38.16235632
NZ_CP013149.1,prokaryote,1.08E-05,216.7710589
NZ_CP013178.1,prokaryote,2.65E-05,529.3917569
NZ_CP013182.1,prokaryote,1.14E-05,228.0866413
NZ_CP013183.1,prokaryote,6.62E-05,1323.701266
NZ_CP013184.1,prokaryote,9.08E-05,1816.261912
NZ_CP013187.1,prokaryote,0.000163843,3276.859538
NZ_CP013188.1,prokaryote,4.15E-05,829.3656275
NZ_CP013189.1,prokaryote,0.000114343,2286.857015
NZ_CP013190.1,prokaryote,3.77E-06,75.43721598
NZ_CP013195.1,prokaryote,0.000329161,6583.22834
NZ_CP013197.1,prokaryote,0.000162811,3256.225241
NZ_CP013200.1,prokaryote,7.99E-05,1598.825231
NZ_CP013202.1,prokaryote,1.04E-05,207.2304698
NZ_CP013211.1,prokaryote,1.86E-05,372.0829741
NZ_CP013212.1,prokaryote,1.02E-05,203.458609
NZ_CP013213.1,prokaryote,0.000137018,2740.367808
NZ_CP013216.1,prokaryote,8.32E-05,1663.834361
NZ_CP013217.1,prokaryote,0.00020175,4035.003558
NZ_CP013218.1,prokaryote,8.87E-06,177.4993317
NZ_CP013219.1,prokaryote,5.80E-05,1159.514385
NZ_CP013220.1,prokaryote,1.57E-05,313.0644463
NZ_CP013222.1,prokaryote,2.37E-06,47.48107124
NZ_CP013226.1,prokaryote,2.15E-06,43.04358794
NZ_CP013231.1,prokaryote,4.50E-06,90.08091085
NZ_CP013232.1,prokaryote,0.000125869,2517.384272
NZ_CP013233.1,prokaryote,5.58E-05,1116.470797
NZ_CP013234.1,prokaryote,8.12E-05,1624.340759
NZ_CP013235.1,prokaryote,5.62E-05,1124.236392
NZ_CP013236.1,prokaryote,0.000109606,2192.116747
NZ_CP013237.1,prokaryote,9.65E-05,1930.527107
NZ_CP013239.1,prokaryote,0.000278552,5571.0384
NZ_CP013242.1,prokaryote,0.000243152,4863.037941
NZ_CP013243.1,prokaryote,0.000268701,5374.014142
NZ_CP013244.1,prokaryote,5.38E-05,1075.424076
NZ_CP013245.1,prokaryote,5.32E-06,106.499599
NZ_CP013246.1,prokaryote,0.000110904,2218.076024
NZ_CP013247.1,prokaryote,0.000107043,2140.863815
NZ_CP013248.1,prokaryote,3.07E-05,613.2601911
NZ_CP013249.1,prokaryote,1.05E-05,209.4492114
NZ_CP013252.1,prokaryote,0.00017061,3412.202778
NZ_CP013253.1,prokaryote,2.42E-06,48.3685679
NZ_CP013254.1,prokaryote,1.92E-05,383.1766824
NZ_CP013259.1,prokaryote,0.000140169,2803.38007
NZ_CP013260.1,prokaryote,2.71E-06,54.13729618
NZ_CP013261.1,prokaryote,2.33E-06,46.59357458
NZ_CP013262.2,prokaryote,2.35E-06,47.03732291
NZ_CP013263.1,prokaryote,2.81E-06,56.13416366
NZ_CP013264.1,prokaryote,7.24E-05,1447.50705
NZ_CP013274.1,prokaryote,0.00016026,3205.194183
NZ_CP013285.1,prokaryote,7.48E-06,149.543187
NZ_CP013286.1,prokaryote,3.77E-05,753.9284115
NZ_CP013287.1,prokaryote,3.40E-05,680.9318113
NZ_CP013288.1,prokaryote,8.86E-06,177.2774576
NZ_CP013289.1,prokaryote,9.15E-06,183.0461858
NZ_CP013290.1,prokaryote,2.21E-05,441.7514618
NZ_CP013292.1,prokaryote,3.76E-05,751.931544
NZ_CP013293.1,prokaryote,0.000374978,7499.56864
NZ_CP013297.1,prokaryote,3.92E-05,784.7689204
NZ_CP013301.1,prokaryote,8.41E-06,168.1806168
NZ_CP013302.1,prokaryote,1.90E-06,37.94048216
NZ_CP013303.1,prokaryote,9.40E-06,187.9274175
NZ_CP013304.1,prokaryote,2.00E-06,39.93734964
NZ_CP013305.1,prokaryote,9.27E-06,185.4868017
NZ_CP013306.1,prokaryote,2.21E-06,44.15295877
NZ_CP013307.1,prokaryote,1.08E-05,216.3273105
NZ_CP013308.1,prokaryote,3.31E-06,66.11850107
NZ_CP013309.1,prokaryote,7.91E-06,158.1962794
NZ_CP013310.1,prokaryote,1.93E-06,38.60610465
NZ_CP013311.1,prokaryote,8.97E-06,179.4961992
NZ_CP013312.1,prokaryote,3.34E-06,66.78412356
NZ_CP013313.1,prokaryote,9.07E-06,181.4930667
NZ_CP013314.1,prokaryote,2.10E-06,41.93421712
NZ_CP013315.1,prokaryote,8.94E-06,178.8305767
NZ_CP013316.1,prokaryote,2.67E-06,53.47167368
NZ_CP013317.1,prokaryote,1.06E-05,212.1117014
NZ_CP013318.1,prokaryote,3.90E-06,78.09970596
NZ_CP013319.1,prokaryote,9.52E-06,190.3680333
NZ_CP013320.1,prokaryote,2.66E-06,53.24979952
NZ_CP013322.1,prokaryote,3.79E-06,75.88096431
NZ_CP013327.1,prokaryote,2.04E-06,40.8248463
NZ_CP013331.1,prokaryote,0.000175392,3507.830543
NZ_CP013334.1,prokaryote,0.000144007,2880.148531
NZ_CP013336.1,prokaryote,0.000157065,3141.294423
NZ_CP013338.1,prokaryote,4.56E-05,911.2371943
NZ_CP013341.1,prokaryote,0.000129785,2595.705852
NZ_CP013342.1,prokaryote,5.04E-05,1007.752456
NZ_CP013344.1,prokaryote,3.60E-05,720.4254126
NZ_CP013347.1,prokaryote,2.52E-05,503.4324796
NZ_CP013348.1,prokaryote,2.27E-05,453.9545409
NZ_CP013349.1,prokaryote,0.001588819,31776.37411
NZ_CP013350.1,prokaryote,6.50E-05,1300.626353
NZ_CP013351.1,prokaryote,2.40E-05,479.0263215
NZ_CP013352.1,prokaryote,0.000160226,3204.52856
NZ_CP013353.1,prokaryote,3.24E-05,648.5381833
NZ_CP013355.1,prokaryote,0.000328662,6573.244002
NZ_CP013360.1,prokaryote,1.72E-05,343.9049552
NZ_CP013361.1,prokaryote,6.76E-06,135.1213663
NZ_CP013362.1,prokaryote,1.83E-05,365.8704975
NZ_CP013363.1,prokaryote,1.94E-05,388.9454106
NZ_CP013364.1,prokaryote,7.84E-06,156.8650344
NZ_CP013365.1,prokaryote,1.44E-05,288.8801624
NZ_CP013366.1,prokaryote,1.51E-05,301.7488639
NZ_CP013367.1,prokaryote,8.43E-06,168.6243651
NZ_CP013368.1,prokaryote,5.78E-06,115.5964398
NZ_CP013370.1,prokaryote,1.63E-05,326.5987704
NZ_CP013371.1,prokaryote,2.00E-05,400.7047414
NZ_CP013375.1,prokaryote,2.31E-05,462.163885
NZ_CP013376.1,prokaryote,2.33E-05,466.1576199
NZ_CP013377.1,prokaryote,2.29E-05,458.6138984
NZ_CP013378.1,prokaryote,3.22E-05,644.7663225
NZ_CP013380.1,prokaryote,2.46E-05,492.5606455
NZ_CP013382.1,prokaryote,1.53E-05,306.6300956
NZ_CP013393.1,prokaryote,1.45E-05,289.3239107
NZ_CP013394.1,prokaryote,1.19E-05,238.9584753
NZ_CP013395.1,prokaryote,1.12E-05,223.649158
NZ_CP013398.1,prokaryote,1.59E-05,317.7238038
NZ_CP013399.1,prokaryote,1.07E-05,214.9960656
NZ_CP013400.1,prokaryote,1.97E-05,394.4922648
NZ_CP013401.1,prokaryote,2.04E-05,408.6922113
NZ_CP013402.1,prokaryote,7.95E-06,159.0837761
NZ_CP013403.1,prokaryote,1.92E-05,383.1766824
NZ_CP013404.1,prokaryote,1.90E-05,380.7360666
NZ_CP013405.1,prokaryote,9.44E-06,188.8149141
NZ_CP013406.1,prokaryote,2.35E-05,470.8169774
NZ_CP013407.1,prokaryote,1.01E-05,201.4617415
NZ_CP013408.1,prokaryote,8.02E-06,160.415021
NZ_CP013409.1,prokaryote,1.82E-05,363.87363
NZ_CP013410.1,prokaryote,7.26E-06,145.1057037
NZ_CP013411.1,prokaryote,1.13E-05,225.4241513
NZ_CP013413.1,prokaryote,6.98E-06,139.5588496
NZ_CP013414.1,prokaryote,2.03E-05,405.585973
NZ_CP013416.1,prokaryote,1.91E-05,381.8454374
NZ_CP013417.1,prokaryote,2.84E-05,568.8853582
NZ_CP013418.1,prokaryote,1.13E-05,226.5335221
NZ_CP013420.1,prokaryote,8.43E-06,168.6243651
NZ_CP013421.1,prokaryote,5.72E-06,114.487069
NZ_CP013422.1,prokaryote,8.15E-06,163.077511
NZ_CP013424.1,prokaryote,1.71E-05,341.0205911
NZ_CP013425.1,prokaryote,1.23E-05,246.0584486
NZ_CP013430.1,prokaryote,2.09E-05,418.4546745
NZ_CP013431.1,prokaryote,2.38E-05,476.5857057
NZ_CP013432.1,prokaryote,4.99E-06,99.8433741
NZ_CP013433.1,prokaryote,2.29E-05,457.2826534
NZ_CP013434.1,prokaryote,5.28E-06,105.6121024
NZ_CP013435.1,prokaryote,2.22E-05,444.635826
NZ_CP013437.1,prokaryote,8.62E-06,172.3962259
NZ_CP013438.1,prokaryote,1.71E-05,342.7955844
NZ_CP013439.1,prokaryote,8.74E-06,174.8368418
NZ_CP013440.1,prokaryote,9.77E-06,195.4711391
NZ_CP013441.1,prokaryote,5.94E-06,118.7026781
NZ_CP013442.1,prokaryote,3.15E-06,63.01226276
NZ_CP013443.1,prokaryote,1.59E-05,317.2800555
NZ_CP013444.1,prokaryote,1.85E-05,370.7517291
NZ_CP013445.1,prokaryote,3.64E-06,72.77472601
NZ_CP013446.1,prokaryote,1.39E-05,278.0083283
NZ_CP013447.1,prokaryote,1.60E-05,319.4987971
NZ_CP013448.1,prokaryote,4.04E-05,808.0657077
NZ_CP013449.1,prokaryote,2.78E-05,556.2385308
NZ_CP013450.1,prokaryote,7.87E-06,157.3087827
NZ_CP013451.1,prokaryote,4.56E-06,91.19028167
NZ_CP013452.1,prokaryote,8.53E-06,170.6212326
NZ_CP013453.1,prokaryote,9.96E-06,199.2429999
NZ_CP013455.1,prokaryote,1.08E-05,215.8835622
NZ_CP013456.1,prokaryote,4.58E-06,91.63403
NZ_CP013459.1,prokaryote,2.04E-05,408.6922113
NZ_CP013460.1,prokaryote,8.48E-06,169.5118618
NZ_CP013461.1,prokaryote,2.63E-05,526.5073927
NZ_CP013463.1,prokaryote,1.16E-05,232.3022504
NZ_CP013464.1,prokaryote,1.65E-05,330.8143795
NZ_CP013465.1,prokaryote,5.49E-06,109.8277115
NZ_CP013466.1,prokaryote,1.42E-05,284.2208049
NZ_CP013467.1,prokaryote,1.82E-05,364.7611267
NZ_CP013468.1,prokaryote,8.16E-06,163.2993852
NZ_CP013475.1,prokaryote,6.77E-07,13.53432404
NZ_CP013476.1,prokaryote,0.000380159,7603.183875
NZ_CP013477.1,prokaryote,2.96E-06,59.24040196
NZ_CP013478.1,prokaryote,2.92E-06,58.35290531
NZ_CP013479.1,prokaryote,3.36E-06,67.22787189
NZ_CP013480.3,prokaryote,9.46E-05,1891.477254
NZ_CP013481.2,prokaryote,4.46E-05,891.4903936
NZ_CP013483.1,prokaryote,3.34E-06,66.78412356
NZ_CP013484.1,prokaryote,2.45E-05,490.3419039
NZ_CP013485.1,prokaryote,1.10E-05,219.8772972
NZ_CP013489.1,prokaryote,3.29E-05,657.8568982
NZ_CP013490.1,prokaryote,1.22E-05,244.9490778
NZ_CP013495.1,prokaryote,1.16E-05,231.1928796
NZ_CP013500.1,prokaryote,1.04E-05,208.1179665
NZ_CP013505.1,prokaryote,1.14E-05,227.6428929
NZ_CP013511.1,prokaryote,1.27E-05,254.0459185
NZ_CP013517.1,prokaryote,1.10E-05,219.655423
NZ_CP013522.1,prokaryote,1.62E-05,323.0487837
NZ_CP013527.1,prokaryote,1.79E-05,358.3267759
NZ_CP013532.1,prokaryote,1.36E-05,272.0177259
NZ_CP013537.1,prokaryote,2.09E-05,418.0109262
NZ_CP013542.1,prokaryote,1.39E-05,278.895825
NZ_CP013547.1,prokaryote,1.41E-05,281.3364408
NZ_CP013552.1,prokaryote,1.58E-05,315.0613138
NZ_CP013557.1,prokaryote,1.93E-05,385.6172982
NZ_CP013563.1,prokaryote,1.59E-05,317.945678
NZ_CP013568.1,prokaryote,1.36E-05,272.9052225
NZ_CP013574.1,prokaryote,1.26E-05,252.4927994
NZ_CP013580.1,prokaryote,1.77E-05,354.333041
NZ_CP013585.1,prokaryote,2.18E-05,436.648356
NZ_CP013590.1,prokaryote,1.07E-05,213.6648206
NZ_CP013595.1,prokaryote,9.98E-06,199.6867482
NZ_CP013601.1,prokaryote,1.23E-05,245.8365744
NZ_CP013610.1,prokaryote,1.78E-05,356.5517826
NZ_CP013611.1,prokaryote,0.000131361,2627.211984
NZ_CP013612.1,prokaryote,4.56E-05,911.0153201
NZ_CP013616.1,prokaryote,8.53E-06,170.6212326
NZ_CP013619.1,prokaryote,8.87E-06,177.4993317
NZ_CP013621.1,prokaryote,1.13E-05,226.9772704
NZ_CP013630.1,prokaryote,6.29E-05,1258.692136
NZ_CP013650.1,prokaryote,0.000173472,3469.446313
NZ_CP013651.1,prokaryote,9.11E-05,1822.918137
NZ_CP013652.1,prokaryote,0.000224759,4495.170576
NZ_CP013653.1,prokaryote,0.000195649,3912.972768
NZ_CP013654.1,prokaryote,2.55E-05,510.3105787
NZ_CP013658.1,prokaryote,3.56E-06,71.22160686
NZ_CP013659.2,prokaryote,0.000126346,2526.924861
NZ_CP013661.2,prokaryote,0.000124272,2485.434393
NZ_CP013662.1,prokaryote,1.01E-05,202.127364
NZ_CP013663.1,prokaryote,6.12E-06,122.4745389
NZ_CP013666.1,prokaryote,5.26E-06,105.168354
NZ_CP013667.1,prokaryote,3.09E-05,617.9195486
NZ_CP013670.1,prokaryote,5.67E-06,113.3776981
NZ_CP013671.1,prokaryote,0.000214719,4294.374457
NZ_CP013672.1,prokaryote,1.28E-05,256.042786
NZ_CP013673.1,prokaryote,1.47E-05,293.9832682
NZ_CP013674.1,prokaryote,5.45E-06,108.9402148
NZ_CP013675.1,prokaryote,5.98E-06,119.5901748
NZ_CP013677.1,prokaryote,5.58E-06,111.6027048
NZ_CP013678.1,prokaryote,4.99E-06,99.8433741
NZ_CP013679.1,prokaryote,5.99E-06,119.8120489
NZ_CP013685.1,prokaryote,2.60E-06,51.91855453
NZ_CP013688.1,prokaryote,0.000106355,2127.107617
NZ_CP013689.1,prokaryote,0.000142621,2852.414261
NZ_CP013690.1,prokaryote,0.000392129,7842.586098
NZ_CP013692.1,prokaryote,9.51E-05,1902.349088
NZ_CP013696.1,prokaryote,5.87E-06,117.3714331
NZ_CP013697.1,prokaryote,2.94E-06,58.79665363
NZ_CP013698.1,prokaryote,1.68E-06,33.50299886
NZ_CP013699.1,prokaryote,3.96E-06,79.20907678
NZ_CP013702.1,prokaryote,2.02E-06,40.38109797
NZ_CP013704.1,prokaryote,8.95E-05,1789.415138
NZ_CP013711.1,prokaryote,7.68E-06,153.5369219
NZ_CP013714.1,prokaryote,0.000124394,2487.875008
NZ_CP013720.1,prokaryote,1.62E-06,32.39362804
NZ_CP013722.1,prokaryote,7.08E-06,141.5557171
NZ_CP013723.1,prokaryote,8.51E-06,170.1774843
NZ_CP013724.1,prokaryote,6.23E-06,124.6932805
NZ_CP013726.1,prokaryote,2.13E-05,426.6640186
NZ_CP013727.1,prokaryote,1.73E-05,346.5674452
NZ_CP013729.1,prokaryote,8.04E-05,1608.36582
NZ_CP013730.1,prokaryote,2.49E-05,497.220003
NZ_CP013731.1,prokaryote,2.52E-05,504.0981021
NZ_CP013732.1,prokaryote,8.92E-06,178.3868284
NZ_CP013733.1,prokaryote,2.44E-05,488.1231623
NZ_CP013737.1,prokaryote,0.000102761,2055.220387
NZ_CP013738.1,prokaryote,3.87E-05,774.1189605
NZ_CP013741.1,prokaryote,8.87E-07,17.74993317
NZ_CP013742.1,prokaryote,7.27E-06,145.3275779
NZ_CP013743.1,prokaryote,7.62E-05,1523.831763
NZ_CP013745.1,prokaryote,7.34E-05,1468.80697
NZ_CP013747.1,prokaryote,6.43E-05,1286.870155
NZ_CP013749.1,prokaryote,1.22E-05,244.2834553
NZ_CP013753.1,prokaryote,1.34E-05,267.3583684
NZ_CP013757.1,prokaryote,1.80E-05,360.9892659
NZ_CP013762.1,prokaryote,1.87E-05,373.192345
NZ_CP013768.1,prokaryote,1.94E-05,388.5016623
NZ_CP013773.1,prokaryote,1.90E-05,380.9579407
NZ_CP013778.1,prokaryote,2.10E-05,420.6734162
NZ_CP013781.1,prokaryote,1.60E-05,319.0550488
NZ_CP013786.1,prokaryote,1.53E-05,305.0769764
NZ_CP013791.1,prokaryote,1.59E-05,317.5019296
NZ_CP013796.1,prokaryote,1.49E-05,298.6426256
NZ_CP013801.1,prokaryote,1.43E-05,285.3301758
NZ_CP013806.1,prokaryote,1.55E-05,309.0707114
NZ_CP013811.1,prokaryote,1.57E-05,313.7300688
NZ_CP013816.1,prokaryote,1.62E-05,324.6019029
NZ_CP013821.1,prokaryote,1.57E-05,313.0644463
NZ_CP013826.1,prokaryote,2.07E-05,413.3515688
NZ_CP013827.1,prokaryote,1.13E-05,226.311648
NZ_CP013828.1,prokaryote,0.00018745,3749.00776
NZ_CP013829.1,prokaryote,3.53E-06,70.55598436
NZ_CP013831.1,prokaryote,2.90E-06,57.90915698
NZ_CP013835.1,prokaryote,3.04E-06,60.79352112
NZ_CP013838.1,prokaryote,1.06E-05,211.4460789
NZ_CP013839.1,prokaryote,1.21E-05,241.3990911
NZ_CP013840.1,prokaryote,1.35E-05,269.5771101
NZ_CP013854.1,prokaryote,3.40E-05,679.6005664
NZ_CP013859.1,prokaryote,3.03E-05,605.7164695
NZ_CP013860.1,prokaryote,9.81E-05,1962.920735
NZ_CP013861.1,prokaryote,6.43E-05,1286.648281
NZ_CP013862.1,prokaryote,0.000216827,4336.530548
NZ_CP013863.1,prokaryote,2.88E-07,5.768728281
NZ_CP013864.1,prokaryote,2.11E-07,4.215609129
NZ_CP013865.1,prokaryote,2.88E-07,5.768728281
NZ_CP013866.1,prokaryote,2.55E-07,5.103105787
NZ_CP013868.1,prokaryote,1.77E-07,3.549986635
NZ_CP013869.1,prokaryote,2.00E-07,3.993734964
NZ_CP013870.1,prokaryote,2.88E-07,5.768728281
NZ_CP013871.1,prokaryote,1.77E-07,3.549986635
NZ_CP013872.1,prokaryote,9.98E-08,1.996867482
NZ_CP013873.1,prokaryote,1.66E-07,3.32811247
NZ_CP013874.1,prokaryote,2.55E-07,5.103105787
NZ_CP013875.1,prokaryote,2.11E-07,4.215609129
NZ_CP013876.1,prokaryote,2.22E-07,4.437483293
NZ_CP013877.1,prokaryote,2.00E-07,3.993734964
NZ_CP013878.1,prokaryote,2.00E-07,3.993734964
NZ_CP013879.1,prokaryote,2.22E-07,4.437483293
NZ_CP013880.1,prokaryote,1.02E-06,20.41242315
NZ_CP013881.1,prokaryote,2.11E-07,4.215609129
NZ_CP013882.1,prokaryote,2.00E-07,3.993734964
NZ_CP013883.1,prokaryote,3.33E-07,6.65622494
NZ_CP013884.1,prokaryote,3.55E-07,7.099973269
NZ_CP013885.1,prokaryote,6.66E-08,1.331244988
NZ_CP013886.1,prokaryote,1.55E-07,3.106238305
NZ_CP013887.1,prokaryote,3.66E-07,7.321847434
NZ_CP013888.1,prokaryote,2.66E-07,5.324979952
NZ_CP013889.1,prokaryote,2.00E-07,3.993734964
NZ_CP013890.1,prokaryote,3.55E-07,7.099973269
NZ_CP013891.1,prokaryote,3.22E-07,6.434350775
NZ_CP013892.1,prokaryote,2.66E-07,5.324979952
NZ_CP013893.1,prokaryote,2.44E-07,4.881231623
NZ_CP013894.1,prokaryote,2.44E-07,4.881231623
NZ_CP013895.1,prokaryote,2.88E-07,5.768728281
NZ_CP013896.1,prokaryote,4.22E-07,8.431218257
NZ_CP013897.1,prokaryote,2.77E-07,5.546854116
NZ_CP013898.1,prokaryote,3.55E-07,7.099973269
NZ_CP013899.1,prokaryote,2.33E-07,4.659357458
NZ_CP013900.1,prokaryote,2.00E-07,3.993734964
NZ_CP013901.1,prokaryote,2.66E-07,5.324979952
NZ_CP013902.1,prokaryote,2.44E-07,4.881231623
NZ_CP013903.1,prokaryote,2.88E-07,5.768728281
NZ_CP013904.1,prokaryote,2.22E-07,4.437483293
NZ_CP013905.1,prokaryote,2.44E-07,4.881231623
NZ_CP013906.1,prokaryote,3.55E-07,7.099973269
NZ_CP013907.1,prokaryote,3.11E-07,6.21247661
NZ_CP013908.1,prokaryote,1.21E-05,242.2865878
NZ_CP013909.1,prokaryote,0.000182292,3645.836274
NZ_CP013910.1,prokaryote,3.55E-05,710.2192011
NZ_CP013911.1,prokaryote,8.05E-05,1609.031442
NZ_CP013913.1,prokaryote,0.000115386,2307.713187
NZ_CP013916.1,prokaryote,4.74E-05,948.0683056
NZ_CP013919.1,prokaryote,4.46E-06,89.19341419
NZ_CP013920.1,prokaryote,0.000175491,3509.827411
NZ_CP013921.1,prokaryote,3.55E-05,709.5535786
NZ_CP013922.1,prokaryote,0.000275202,5504.032403
NZ_CP013923.1,prokaryote,3.74E-05,747.7159349
NZ_CP013924.1,prokaryote,8.30E-06,165.9618752
NZ_CP013926.1,prokaryote,5.51E-05,1102.936473
NZ_CP013928.1,prokaryote,7.12E-05,1424.875885
NZ_CP013932.1,prokaryote,4.32E-05,864.6436197
NZ_CP013934.1,prokaryote,2.18E-05,436.648356
NZ_CP013936.1,prokaryote,2.20E-05,440.4202168
NZ_CP013939.1,prokaryote,1.32E-05,263.3646335
NZ_CP013940.1,prokaryote,8.45E-05,1690.459261
NZ_CP013944.1,prokaryote,1.60E-05,320.6081679
NZ_CP013949.1,prokaryote,0.000107676,2153.510642
NZ_CP013950.1,prokaryote,8.09E-05,1618.572031
NZ_CP013951.1,prokaryote,1.77E-07,3.549986635
NZ_CP013952.1,prokaryote,1.49E-06,29.73113806
NZ_CP013953.1,prokaryote,4.04E-06,80.76219594
NZ_CP013955.1,prokaryote,3.35E-06,67.00599773
NZ_CP013957.1,prokaryote,1.41E-05,281.7801891
NZ_CP013961.1,prokaryote,5.97E-06,119.3683006
NZ_CP013965.1,prokaryote,2.35E-05,470.1513549
NZ_CP013975.1,prokaryote,1.46E-05,292.430149
NZ_CP013979.1,prokaryote,3.22E-05,644.1007
NZ_CP013980.1,prokaryote,8.92E-05,1784.533906
NZ_CP013984.1,prokaryote,9.75E-05,1950.052033
NZ_CP013987.1,prokaryote,7.51E-05,1502.975591
NZ_CP013988.1,prokaryote,6.30E-05,1259.579633
NZ_CP013989.1,prokaryote,3.14E-06,62.7903886
NZ_CP013990.1,prokaryote,6.77E-05,1354.319901
NZ_CP013991.1,prokaryote,2.09E-05,418.0109262
NZ_CP013992.1,prokaryote,0.000194806,3896.110331
NZ_CP013993.1,prokaryote,8.13E-06,162.6337627
NZ_CP013994.1,prokaryote,1.56E-05,311.289453
NZ_CP013997.1,prokaryote,5.24E-05,1047.246057
NZ_CP013998.1,prokaryote,4.93E-05,985.7869136
NZ_CP014004.1,prokaryote,5.46E-06,109.162089
NZ_CP014007.1,prokaryote,0.000105168,2103.367081
NZ_CP014008.1,prokaryote,6.47E-06,129.352638
NZ_CP014010.1,prokaryote,4.39E-06,87.86216921
NZ_CP014016.2,prokaryote,0.000105191,2103.810829
NZ_CP014017.2,prokaryote,0.000117882,2357.634874
NZ_CP014022.1,prokaryote,7.38E-05,1475.241321
NZ_CP014026.2,prokaryote,6.63E-05,1325.698134
NZ_CP014028.1,prokaryote,5.27E-05,1054.567905
NZ_CP014030.2,prokaryote,8.74E-05,1748.812166
NZ_CP014031.2,prokaryote,0.000151962,3039.232308
NZ_CP014032.1,prokaryote,4.05E-05,810.9500718
NZ_CP014033.1,prokaryote,5.13E-05,1025.724263
NZ_CP014034.2,prokaryote,2.90E-05,579.9790664
NZ_CP014035.2,prokaryote,5.73E-05,1146.423809
NZ_CP014036.1,prokaryote,4.65E-05,930.9839949
NZ_CP014037.1,prokaryote,4.34E-05,867.0842355
NZ_CP014038.2,prokaryote,4.64E-05,927.2121341
NZ_CP014039.2,prokaryote,3.75E-05,750.8221732
NZ_CP014040.1,prokaryote,2.75E-05,550.4698025
NZ_CP014041.1,prokaryote,1.28E-05,255.8209119
NZ_CP014042.2,prokaryote,5.32E-05,1064.552242
NZ_CP014043.2,prokaryote,6.56E-05,1312.385684
NZ_CP014044.1,prokaryote,1.15E-05,229.1960121
NZ_CP014045.1,prokaryote,2.28E-05,455.0639117
NZ_CP014046.2,prokaryote,2.86E-05,571.5478482
NZ_CP014047.2,prokaryote,1.60E-05,320.3862938
NZ_CP014048.2,prokaryote,1.99E-05,398.0422514
NZ_CP014049.2,prokaryote,2.66E-05,532.7198693
NZ_CP014051.2,prokaryote,3.38E-06,67.67162022
NZ_CP014053.1,prokaryote,4.39E-05,878.3998179
NZ_CP014054.1,prokaryote,9.92E-06,198.3555032
NZ_CP014055.2,prokaryote,3.13E-05,626.7945152
NZ_CP014056.2,prokaryote,0.000130662,2613.233911
NZ_CP014064.2,prokaryote,6.62E-06,132.4588763
NZ_CP014067.2,prokaryote,0.000117749,2354.972384
NZ_CP014070.2,prokaryote,5.57E-05,1114.252055
NZ_CP014071.1,prokaryote,1.83E-05,366.0923717
NZ_CP014094.1,prokaryote,4.07E-05,813.3906876
NZ_CP014095.1,prokaryote,4.38E-05,875.7373279
NZ_CP014113.2,prokaryote,8.51E-05,1702.440465
NZ_CP014129.2,prokaryote,0.000110871,2217.410402
NZ_CP014132.1,prokaryote,4.93E-05,985.5650394
NZ_CP014133.1,prokaryote,3.52E-05,704.2285986
NZ_CP014134.1,prokaryote,4.69E-05,937.1964715
NZ_CP014136.1,prokaryote,0.000146393,2927.851477
NZ_CP014137.1,prokaryote,0.00018927,3785.395123
NZ_CP014139.1,prokaryote,1.39E-05,278.2302025
