NCBI accession number,name of the virus,genus of host,family of host,order of host,class of host,phylum of host,domain of host
NC_010583,Escherichia phage Eps7,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_010807,Salmonella phage phiSG-JL2,Salmonella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_010808,Staphylococcus phage phiMR25,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_010811,Ralstonia phage RSL1,NA,NA,NA,NA,NA,bacteria
NC_010821,Pseudomonas phage 201phi2-1,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_010945,Streptococcus phage PH15,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_011019,Mycobacterium phage KBG,NA,NA,NA,NA,NA,bacteria
NC_011020,Mycobacterium phage Jasper,NA,NA,NA,NA,NA,bacteria
NC_011021,Mycobacterium phage Lockley,NA,NA,NA,NA,NA,bacteria
NC_011022,Mycobacterium phage DD5,NA,NA,NA,NA,NA,bacteria
NC_011023,Mycobacterium phage Pukovnik,NA,NA,NA,NA,NA,bacteria
NC_011038,Yersinia phage Yepe2,Yersinia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_011039,Mycobacterium phage Predator,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_011040,Enterobacteria phage BA14,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_011041,Escherichia phage rv5,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_011042,Enterobacteria phage EcoDS1,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_011043,Klebsiella phage K11,Klebsiella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_011044,Mycobacterium phage Nigel,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_011045,Enterobacteria phage 13a,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_011046,Lactococcus phage bIBB29,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_011048,Bacillus phage phi29,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_011054,Mycobacterium phage Boomer,NA,NA,NA,NA,NA,bacteria
NC_011055,Mycobacterium phage Porky,NA,NA,NA,NA,NA,bacteria
NC_011056,Mycobacterium phage Kostya,NA,NA,NA,NA,NA,bacteria
NC_011057,Mycobacterium phage Phaedrus,NA,NA,NA,NA,NA,bacteria
NC_011085,Morganella phage MmP1,Morganella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_011103,Rhizobium phage 16-3,NA,NA,NA,NA,NA,bacteria
NC_011104,Lactobacillus phage Lrm1,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_011107,Pseudomonas phage PT2,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_011142,Iodobacteriophage phiPLPE,Iodobacter,NA,NA,NA,NA,bacteria
NC_011165,Pseudomonas phage LBL3,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_011166,Pseudomonas phage LMA2,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_011167,Bacillus phage IEBH,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_011201,Ralstonia phage RSB1,Ralstonia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,bacteria
NC_011216,Burkholderia phage KS10,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,bacteria
NC_011217,Sulfolobus spindle-shaped virus 5,Sulfolobus,Sulfolobaceae,Sulfolobales,Thermoprotei,Crenarchaeota,archaea
NC_011222,Bacteroides phage B40-8,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidetes,bacteria
NC_011267,Mycobacterium phage Solon,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_011269,Mycobacterium phage ScottMcG,NA,NA,NA,NA,NA,bacteria
NC_011270,Mycobacterium phage Spud,NA,NA,NA,NA,NA,bacteria
NC_011271,Mycobacterium phage Cali,NA,NA,NA,NA,NA,bacteria
NC_011272,Mycobacterium phage Rizal,NA,NA,NA,NA,NA,bacteria
NC_011273,Mycobacterium phage Myrna,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_011285,Mycobacterium phage Troll4,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_011287,Mycobacterium phage Pacc40,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_011288,Mycobacterium phage Fruitloop,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_011289,Mycobacterium phage Ramsey,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_011290,Mycobacterium phage Gumball,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_011291,Mycobacterium phage Brujita,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_011292,Mycobacterium phage Konstantine,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_011308,Listeria phage P40,Listeria,Listeriaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_011318,Clostridium phage phiCP39-O,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,bacteria
NC_011344,Staphylococcus phage phi2958PVL,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_011356,Enterobacteria phage YYZ-2008,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_011357,Stx2-converting phage 1717,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_011373,Pseudomonas phage PAJU2,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_011398,Clostridium phage phiCD27,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,bacteria
NC_011399,Ralstonia phage RSM3,Ralstonia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,bacteria
NC_011421,Bacillus phage SPO1,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_011523,Bacillus phage AP50,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_011534,Kluyvera phage Kvp1,Kluyvera,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_011551,Bacteriophage APSE-2,Hamiltonella,NA,NA,NA,NA,bacteria
NC_011589,Stenotrophomonas phage S1,Stenotrophomonas,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_011611,Pseudomonas phage MP38,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_011612,Staphylococcus phage Ipla35,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_011613,Pseudomonas phage MP29,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_011614,Staphylococcus phage Ipla88,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_011645,Bacillus phage TP21-L,NA,NA,NA,NA,NA,bacteria
NC_011703,Pseudomonas phage 14-1,NA,NA,NA,NA,NA,bacteria
NC_011756,Pseudomonas phage SN,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_011801,Lactobacillus phage Lv-1,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_011802,Salmonella phage SE1,Salmonella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_011810,Pseudomonas phage PB1,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_011811,Erwinia phage phiEa21-4,Erwinia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_011976,Salmonella phage epsilon34,Salmonella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_012027,Mycobacterium phage Phlyer,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_012091,          Pseudomonas phage phi2954,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_012092,          Pseudomonas phage phi2954,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_012093,          Pseudomonas phage phi2954,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_012223,Enterobacteria phage SSL2009a,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_012418,Pseudomonas phage phikF77,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_012419,Enterococcus phage EFAP-1,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_012530,Lactobacillus phage Lb338-1,NA,NA,NA,NA,NA,bacteria
NC_012558,Halorubrum pleomorphic virus 1,Halorubrum,Haloferacaceae,Haloferacales,Halobacteria,Euryarchaeota,bacteria
NC_012635,Enterobacteria phage RB51,NA,NA,NA,NA,NA,bacteria
NC_012638,Enterobacteria phage RB14,NA,NA,NA,NA,NA,bacteria
NC_012662,Vibrio phage VP93,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,bacteria
NC_012663,Lactococcus phage P087,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_012696,Sulfitobacter phage EE36phi1,Sulfitobacter,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,bacteria
NC_012697,Silicibacter phage DSS3phi2,Ruegeria,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,bacteria
NC_012740,Enterobacteria phage JSE,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_012741,Enterobacteria phage JS10,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_012742,Xanthomonas phage phiL7,Xanthomonas,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_012743,Burkholderia phage BcepIL02,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,bacteria
NC_012749,Escherichia phage wV8,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_012753,Streptococcus phage 5093,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_012756,Streptococcus phage PH10,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_012757,Vibrio phage VEJphi,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,bacteria
NC_012784,Staphylococcus phage phiPVL-CN125,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_012788,Mycobacterium phage Angel,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_012868,Enterobacteria phage St-1,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_012884,Streptococcus phage M102,NA,NA,NA,NA,NA,bacteria
NC_013021,Cyanophage PSS2,Prochlorococcus,Prochlorococcaceae,Prochlorales,,Cyanobacteria,bacteria
NC_013055,Burkholderia phage KS9,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,bacteria
NC_013059,Salmonella phage g341c,Salmonella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_013085,Synechococcus phage S-RSM4,NA,NA,NA,NA,NA,bacteria
NC_013152,Lactococcus phage CB14,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_013155,Lactococcus phage CB13,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_013195,Staphylococcus phage P954,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_013585,Acidianus spindle-shaped virus 1,Acidianus,Sulfolobaceae,Sulfolobales,Thermoprotei,Crenarchaeota,archaea
NC_013587,Sulfolobus spindle-shaped virus 6,Sulfolobus,Sulfolobaceae,Sulfolobales,Thermoprotei,Crenarchaeota,archaea
NC_013588,Sulfolobus spindle-shaped virus 7,Sulfolobus,Sulfolobaceae,Sulfolobales,Thermoprotei,Crenarchaeota,archaea
NC_013594,Escherichia phage D108,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_013598,Streptococcus phage Alq132,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_013599,Xylella phage Xfas53,Xylella,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_013600,Sodalis phage SO1,Sodalis,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_013638,Pseudomonas phage phi-2,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_013643,Enterococcus phage phiFL2A,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_013644,Enterococcus phage phiFL4A,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_013645,Streptococcus phage Abc2,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_013646,Enterococcus phage phiFL1A,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_013647,Klebsiella phage KP32,Klebsiella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_013648,Enterococcus phage phiFL3A,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_013649,Klebsiella phage KP34,Klebsiella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_013650,Mycobacterium phage ET08,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_013651,Vibrio phage N4,NA,NA,NA,NA,NA,bacteria
NC_013691,Pseudomonas phage LUZ7,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_013692,Pseudomonas phage LIT1,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_013693,Shigella phage Ag3,Shigella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_013694,Mycobacterium phage Peaches,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_013696,Enterococcus phage phiEf11,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_013697,Deftia phage phiW-14,Delftia,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,bacteria
NC_013698,Clavibacter phage CMP1,Clavibacter,Microbacteriaceae,Micrococcales,Actinobacteria,Actinobacteria,bacteria
NC_013758,Haloarcula hispanica pleomorphic virus 1,Haloarcula,Halobacteriaceae,Halobacteriales,Halobacteria,Euryarchaeota,archaea
NC_013936,Mycobacterium phage Ardmore,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_014036,Klebsiella phage KP15,Klebsiella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_014099,Sulfolobus turreted icosahedral virus 2,Sulfolobus,Sulfolobaceae,Sulfolobales,Thermoprotei,Crenarchaeota,archaea
NC_014229,Streptomyces phage phiSASD1,Streptomyces,Streptomycetaceae,Streptomycetales,Actinobacteria,Actinobacteria,bacteria
NC_014260,Enterobacteria phage IME08,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_014321,Hyperthermophilic Archaeal Virus 2,NA,NA,NA,NA,NA,archaea
NC_014322,Hyperthermophilic Archaeal Virus 1,NA,NA,NA,NA,NA,archaea
NC_014457,Clostridium phage phiCTP1,NA,NA,NA,NA,NA,bacteria
NC_014458,Mycobacterium phage Angelica,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_014459,Mycobacterium phage CrimD,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_014460,Staphylococcus phage Sap26,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_014461,Mycobacterium phage bron,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_014467,Enterobacteria phage RB16,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_014595,Shigella phage SP18,Shigella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_014635,Aeromonas phage phiAS4,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_014636,Aeromonas phage phiAS5,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_014660,Acinetobacter phage Ac42,NA,NA,NA,NA,NA,bacteria
NC_014661,Acinetobacter phage Acj61,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_014662,Enterobacteria phage CC31,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_014663,Acinetobacter phage Acj9,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_014792,Enterobacteria phage vB_EcoM-VR7,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_014900,Salmonella phage ST160,Salmonella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_014901,Mycobacterium phage Wee,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_015157,Vibrio phage ICP1,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,bacteria
NC_015158,Vibrio phage ICP2,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,bacteria
NC_015159,Vibrio phage ICP3,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,bacteria
NC_015208,Pseudomonas phage phi15,NA,NA,NA,NA,NA,bacteria
NC_015210,Tsukamurella phage TPA2,Tsukamurella,Tsukamurellaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_015249,Enterobacteria phage 285P,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_015250,Acinetobacter phage 133,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_015251,Aeromonas phage 65,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_015252,Brochothrix phage NF5,Brochothrix,Listeriaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_015253,Brochothrix phage A9,Brochothrix,Listeriaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_015254,Brochothrix phage BL3,Brochothrix,Listeriaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_015262,Clostridium phage phiCD6356,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,bacteria
NC_015263,Lactococcus phage 949,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_015264,Pseudomonas phage phiIBB-PF7A,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_015265,Burkholderia phage KS5,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,bacteria
NC_015266,Burkholderia phage KL3,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,bacteria
NC_015269,Salmonella phage Spc35,Salmonella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_015270,Enterococcus phage EFRM31,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_015271,Salmonella phage Vi06,Salmonella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_015272,Pseudomonas phage KPP10,NA,NA,NA,NA,NA,bacteria
NC_015273,Burkholderia phage KS14,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,bacteria
NC_015274,Streptococcus phage Dp-1,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_015279,Synechococcus phage S-SM2,Synechococcus,,Chroococcales,,Cyanobacteria,bacteria
NC_015280,Prochlorococcus phage P-HM1,Prochlorococcus,Prochlorococcaceae,Prochlorales,,Cyanobacteria,bacteria
NC_015281,Synechococcus phage S-ShM2,Synechococcus,,Chroococcales,,Cyanobacteria,bacteria
NC_015282,Synechococcus phage S-SM1,Synechococcus,,Chroococcales,,Cyanobacteria,bacteria
NC_015283,Prochlorococcus phage P-RSM4,Prochlorococcus,Prochlorococcaceae,Prochlorales,,Cyanobacteria,bacteria
NC_015284,Prochlorococcus phage P-HM2,Prochlorococcus,Prochlorococcaceae,Prochlorales,,Cyanobacteria,bacteria
NC_015285,Prochlorococcus phage Syn33,Synechococcus,,Chroococcales,,Cyanobacteria,bacteria
NC_015286,Synechococcus phage Syn19,Synechococcus,,Chroococcales,,Cyanobacteria,bacteria
NC_015287,Synechococcus phage S-SSM7,Synechococcus,,Chroococcales,,Cyanobacteria,bacteria
NC_015288,Prochlorococcus phage Syn1,Synechococcus,,Chroococcales,,Cyanobacteria,bacteria
NC_015289,Synechococcus phage S-SSM5,Synechococcus,,Chroococcales,,Cyanobacteria,bacteria
NC_015290,Prochlorococcus phage P-SSM7,Prochlorococcus,Prochlorococcaceae,Prochlorales,,Cyanobacteria,bacteria
NC_015292,Erwinia phage phiEa104,NA,NA,NA,NA,NA,bacteria
NC_015293,Pseudoalteromonas phage H105/1,Pseudoalteromonas,Pseudoalteromonadaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_015294,Pseudomonas phage PAK_P1,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_015295,Erwinia phage phiEt88,NA,NA,NA,NA,NA,bacteria
NC_015296,Salmonella phage ViI,Salmonella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_015297,Ralstonia phage PE226,Ralstonia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,bacteria
NC_015453,Propionibacterium phage PAS50,NA,NA,NA,NA,NA,bacteria
NC_015454,Propionibacterium phage PAD20,NA,NA,NA,NA,NA,bacteria
NC_015456,Shigella phage Shfl1,Shigella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_015457,Shigella phage Shfl2,Shigella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_015463,Synechococcus phage S-CBS2,Synechococcus,,Chroococcales,,Cyanobacteria,bacteria
NC_015464,Campylobacter phage NCTC12673,Campylobacter,Campylobacteraceae,Campylobacterales,Epsilonproteobacteria,Proteobacteria,bacteria
NC_015465,Synechococcus phage S-CBS3,Synechococcus,,Chroococcales,,Cyanobacteria,bacteria
NC_015466,Roseobacter phage RDJL Phi 1,Roseobacter,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,bacteria
NC_015568,Clostridium phage phiCD38-2,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,bacteria
NC_015569,Synechococcus phage S-CRM01,Synechococcus,,Chroococcales,,Cyanobacteria,bacteria
NC_015584,Mycobacterium phage Faith1,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_015585,Pantoea phage LIMEzero,Pantoea,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_015586,Stenotrophomonas phage phiSHP2,Stenotrophomonas,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_015719,Enterobacteria phage K30,NA,NA,NA,NA,NA,bacteria
NC_015720,Gordonia phage GTE2,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_015721,Bdellovibrio phage phi1402,Bdellovibrio,Bdellovibrionaceae,Bdellovibrionales,Deltaproteobacteria,Proteobacteria,bacteria
NC_015785,Microviridae phi-CA82,NA,NA,NA,NA,NA,bacteria
NC_015933,Escherichia phage vB_EcoP_G7C,NA,NA,NA,NA,NA,bacteria
NC_015937,Thermus phage TMA,Thermus,Thermaceae,Thermales,Deinococci,Deinococcus-Thermus,bacteria
NC_015938,Salmonella phage 7-11,Salmonella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_016071,Salmonella phage PVP-SE1,Salmonella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_016073,Salmonella phage SFP10,Salmonella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_016158,Escherichia phage HK639,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_016160,Escherichia phage HK75,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_016161,Pediococcus phage clP1,NA,NA,NA,NA,NA,bacteria
NC_016162,Vibrio phage VCY-phi,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,bacteria
NC_016163,Yersinia phage phiR1-37,Yersinia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_016164,Synechococcus phage S-CBS1,Synechococcus,,Chroococcales,,Cyanobacteria,bacteria
NC_016165,Rhodobacter phage RcapMu,Rhodobacter,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,bacteria
