NCBI accession number,name of host,genus,family,order,class,phylum,domain
ARPZ01,Haloquadratum sp. J07HQX50,Haloquadratum,Haloferacaceae,Haloferacales,Halobacteria,Euryarchaeota,Archaea
ALXK01,Thaumarchaeota archaeon SCGC AB-539-E09,,,,,Thaumarchaeota,Archaea
ALXL01,Thermoplasmatales archaeon SCGC AB-539-N05,,,Thermoplasmatales,Thermoplasmata,Euryarchaeota,Archaea
AOSI01,Thermoplasmatales archaeon SCGC AB-540-F20,,,Thermoplasmatales,Thermoplasmata,Euryarchaeota,Archaea
AQVP01,crenarchaeote SCGC AAA261-L22,,,,,Crenarchaeota,Archaea
AQYU01,Aenigmarchaeota archaeon SCGC AAA011-F07,,,,,Aenigmarchaeota,Archaea
AOSH01,Thermoplasmatales archaeon SCGC AB-539-C06,,,Thermoplasmatales,Thermoplasmata,Euryarchaeota,Archaea
ASLW01,Aigarchaeota archaeon SCGC AAA471-J07,,,,,Thaumarchaeota,Archaea
ASLX01,Aigarchaeota archaeon SCGC AAA471-J08,,,,,Thaumarchaeota,Archaea
ASLY01,Aigarchaeota archaeon JGI 0000001-A7,,,,,Thaumarchaeota,Archaea
ASMS01,Diapherotrites archaeon SCGC AAA011-N19,,,,,Diapherotrites,Archaea
ASMR01,Diapherotrites archaeon SCGC AAA011-K09,,,,,Diapherotrites,Archaea
ASMP01,Nanoarchaeota archaeon SCGC AAA011-D5,,,,,Nanoarchaeota,Archaea
ASMQ01,Candidatus Aenigmarchaeum subterraneum SCGC AAA011-O16,Candidatus Aenigmarchaeum,,,,Aenigmarchaeota,Archaea
ASPG01,Aigarchaeota archaeon JGI 0000001-B8,,,,,Thaumarchaeota,Archaea
AQRM01,Nanoarchaeota archaeon SCGC AAA011-L15,,,,,Nanoarchaeota,Archaea
AQTD01,Aigarchaeota archaeon SCGC AAA471-B22,,,,,Thaumarchaeota,Archaea
AQTF01,Nanoarchaeota archaeon SCGC AAA011-J2,,,,,Nanoarchaeota,Archaea
ARPW01,halophilic archaeon J07HX5,,,Halobacteriales,Halobacteria,Euryarchaeota,Archaea
AGCY01,halophilic archaeon J07HX64,,,Halobacteriales,Halobacteria,Euryarchaeota,Archaea
AGCZ01,halophilic archaeon J07HB67,,,Halobacteriales,Halobacteria,Euryarchaeota,Archaea
AXWH01,Euryarchaeota archaeon SCGC AAA287-I03,,,,,Euryarchaeota,Archaea
AXWJ01,Euryarchaeota archaeon SCGC AAA287-E17,,,,,Euryarchaeota,Archaea
AXWK01,Euryarchaeota archaeon SCGC AAA287-N16,,,,,Euryarchaeota,Archaea
AXWL01,Thaumarchaeota archaeon SCGC AAA282-K18,,,,,Thaumarchaeota,Archaea
AWOH01,Nanoarchaeota archaeon JGI OTU-2,,,,,Nanoarchaeota,Archaea
AWOG01,Nanoarchaeota archaeon JGI OTU-1,,,,,Nanoarchaeota,Archaea
AWOB01,crenarchaeote JGI-OTU-1,,,,,Crenarchaeota,Archaea
AGCX01,Halonotius sp. J07HN4,Halonotius,Haloferacaceae,Haloferacales,Halobacteria,Euryarchaeota,Archaea
ARQB01,Halorubrum sp. J07HR59,Halorubrum,Haloferacaceae,Haloferacales,Halobacteria,Euryarchaeota,Archaea
ARPY01,Haloquadratum walsbyi J07HQW2,Haloquadratum,Haloferacaceae,Haloferacales,Halobacteria,Euryarchaeota,Archaea
ARPX01,Haloquadratum walsbyi J07HQW1,Haloquadratum,Haloferacaceae,Haloferacales,Halobacteria,Euryarchaeota,Archaea
NC_022905.1,Brucella ceti TE10759-12,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria
AGYH01,[Clostridium] bolteae 90A9,Lachnoclostridium,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria
NC_021084.1,Wolbachia endosymbiont of Drosophila simulans wNo,Wolbachia,Anaplasmataceae,Rickettsiales,Alphaproteobacteria,Proteobacteria,Bacteria
CP005941.1,Streptococcus iniae SF1,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
AGYK01,Clostridium butyricum 60E.3,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria
AZAN01,Actinospica robiniae DSM 44927,Actinospica,Actinospicaceae,Catenulisporales,Actinobacteria,Actinobacteria,Bacteria
NC_022663.1,Mycobacterium kansasii ATCC 12478,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
ARMA01,Peptostreptococcus anaerobius VPI 4330 = DSM 2949,Peptostreptococcus,Peptostreptococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria
ARKX01,Peptoniphilus lacrimalis DSM 7455,Peptoniphilus,Peptoniphilaceae,Clostridiales,Clostridia,Firmicutes,Bacteria
ATFC01,Treponema vincentii F0403,Treponema,Spirochaetaceae,Spirochaetales,Spirochaetia,Spirochaetes,Bacteria
APQF01,Acinetobacter radioresistens DSM 6976 = NBRC 102413 = CIP 103788,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
APON01,Acinetobacter johnsonii CIP 64.6,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
APPX01,Acinetobacter junii CIP 64.5,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
APQS01,Acinetobacter lwoffii NCTC 5866 = CIP 64.10,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
ASXS01,Vibrio fluvialis PG41,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,Bacteria
AGYV01,[Clostridium] innocuum 2959,Erysipelatoclostridium,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichia,Firmicutes,Bacteria
ARKY01,Prevotella amnii DSM 23384 = JCM 14753,Prevotella,Prevotellaceae,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteria
NC_022236.1,Streptococcus constellatus subsp. pharyngis C232,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
APQQ01,Acinetobacter haemolyticus CIP 64.3,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
AUKF01,Prevotella bryantii C21a,Prevotella,Prevotellaceae,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteria
AUFU01,Selenomonas artemidis DSM 19719,Selenomonas,Veillonellaceae,Selenomonadales,Negativicutes,Firmicutes,Bacteria
ASWN01,Enterococcus saccharolyticus ATCC 43076,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
ARBD01,Acetobacter aceti ATCC 23746,Acetobacter,Acetobacteraceae,Rhodospirillales,Alphaproteobacteria,Proteobacteria,Bacteria
AOHC02,Leptospira weilii serovar Ranarum str. ICFT,Leptospira,Leptospiraceae,,Spirochaetia,Spirochaetes,Bacteria
AULQ01,Mesoflavibacter zeaxanthinifaciens DSM 18436,Mesoflavibacter,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
ASJI01,Pantoea agglomerans Tx10,Pantoea,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,Bacteria
AYXO01,Gordonia alkanivorans CGMCC 6845,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
AORK01,Mycoplasma yeatsii 13926,Mycoplasma,Mycoplasmataceae,Mycoplasmatales,Mollicutes,Tenericutes,Bacteria
NC_022041.1,Paracoccus aminophilus JCM 7686,Paracoccus,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria
CP004345.1,Morganella morganii subsp. morganii KT,Morganella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_021064.1,Propionibacterium avidum 44067,Propionibacterium,Propionibacteriaceae,Propionibacteriales,Actinobacteria,Actinobacteria,Bacteria
NZ_CM001904.1,Dickeya chrysanthemi NCPPB 516,Dickeya,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_021182.1,Clostridium pasteurianum BC1,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria
AWNK01,Chrysiogenes arsenatis DSM 11915,Chrysiogenes,Chrysiogenaceae,Chrysiogenales,Chrysiogenetes,Chrysiogenetes,Bacteria
AUBN01,Actinomyces gerencseriae DSM 6844,Actinomyces,Actinomycetaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria
AXBP01,Pontibacter actiniarum DSM 19842,Pontibacter,Cytophagaceae,Cytophagales,Cytophagia,Bacteroidetes,Bacteria
AUCC01,Arsenophonus nasoniae DSM 15247,Arsenophonus,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,Bacteria
ADHD01,Wolbachia endosymbiont of Wuchereria bancrofti,Wolbachia,Anaplasmataceae,Rickettsiales,Alphaproteobacteria,Proteobacteria,Bacteria
AVDV01,Pseudomonas viridiflava TA043,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
AZAO01,Desulfovibrio termitidis HI1,Desulfovibrio,Desulfovibrionaceae,Desulfovibrionales,Deltaproteobacteria,Proteobacteria,Bacteria
AUTU01,Bacteroidetes bacterium oral taxon 272 str. F0290,,,,,Bacteroidetes,Bacteria
APQA01,Acinetobacter ursingii DSM 16037 = CIP 107286,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
AUQW01,Meiothermus chliarophilus DSM 9957,Meiothermus,Thermaceae,Thermales,Deinococci,Deinococcus-Thermus,Bacteria
AQTV01,Candidatus Poribacteria sp. WGA-4E,,,,,Poribacteria,Bacteria
AQPC01,Candidatus Poribacteria sp. WGA-4G,,,,,Poribacteria,Bacteria
ASPI01,Marinimicrobia bacterium SCGC AAA003-E22,,,,,Marinimicrobia,Bacteria
ASPJ01,Marinimicrobia bacterium SCGC AAA003-L08,,,,,Marinimicrobia,Bacteria
AHYU01,Enterococcus durans ATCC 6056,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_023150.1,Rhodococcus pyridinivorans SB3094,Rhodococcus,Nocardiaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
AUUA01,Leminorella grimontii ATCC 33999 = DSM 5078,Leminorella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,Bacteria
APIZ01,Dolichospermum circinale AWQC310F,Dolichospermum,Nostocaceae,Nostocales,,Cyanobacteria,Bacteria
AUJL01,Clostridium cadaveris AGR2141,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria
ASSZ01,Paenibacillus barengoltzii G22,Paenibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
AICW01,Actinopolyspora iraqiensis IQ-H1,Actinopolyspora,Actinopolysporaceae,Actinopolysporales,Actinobacteria,Actinobacteria,Bacteria
ATYA01,Methylocapsa acidiphila B2,Methylocapsa,Beijerinckiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria
ARAW01,Fangia hongkongensis FSC776 = DSM 21703,Fangia,,Thiotrichales,Gammaproteobacteria,Proteobacteria,Bacteria
ATYB01,Sinorhizobium arboris LMG 14919,Sinorhizobium,Rhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria
NC_020301.1,Bartonella vinsonii subsp. berkhoffii str. Winnie,Bartonella,Bartonellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria
AXBK01,Adhaeribacter aquaticus DSM 16391,Adhaeribacter,Cytophagaceae,Cytophagales,Cytophagia,Bacteroidetes,Bacteria
ATTB01,alpha proteobacterium SCGC AAA028-C07,,,,Alphaproteobacteria,Proteobacteria,Bacteria
AZOF01,alpha proteobacterium SCGC AAA028-D10,,,,Alphaproteobacteria,Proteobacteria,Bacteria
ATTD01,alpha proteobacterium SCGC AAA023-L09,,,,Alphaproteobacteria,Proteobacteria,Bacteria
AQUA01,actinobacterium SCGC AAA278-O22,,,,Actinobacteria,Actinobacteria,Bacteria
AQZH01,actinobacterium SCGC AAA278-I18,,,,Actinobacteria,Actinobacteria,Bacteria
AQZI01,actinobacterium SCGC AAA044-N04,,,,Actinobacteria,Actinobacteria,Bacteria
AQZJ01,actinobacterium SCGC AAA028-A23,,,,Actinobacteria,Actinobacteria,Bacteria
AQZK01,actinobacterium SCGC AAA027-J17,,,,Actinobacteria,Actinobacteria,Bacteria
AQZL01,actinobacterium SCGC AAA023-D18,,,,Actinobacteria,Actinobacteria,Bacteria
AQUB01,actinobacterium SCGC AAA023-J06,,,,Actinobacteria,Actinobacteria,Bacteria
AZHQ01,alpha proteobacterium SCGC AAA288-E13,,,,Alphaproteobacteria,Proteobacteria,Bacteria
AUAW01,Lactobacillus rossiae DSM 15814,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
AZHR01,alpha proteobacterium SCGC AAA240-E13,,,,Alphaproteobacteria,Proteobacteria,Bacteria
ARPB01,alpha proteobacterium SCGC AAA300-J04,,,,Alphaproteobacteria,Proteobacteria,Bacteria
ARPC01,Verrucomicrobia bacterium SCGC AAA300-K03,,,,,Verrucomicrobia,Bacteria
ATTC01,alpha proteobacterium SCGC AAA487-M09,,,,Alphaproteobacteria,Proteobacteria,Bacteria
ARPD01,Verrucomicrobia bacterium SCGC AAA300-O17,,,,,Verrucomicrobia,Bacteria
AXBI01,Leisingera caerulea DSM 24564,Leisingera,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria
ATYG01,Carboxydothermus ferrireducens DSM 11255,Carboxydothermus,Thermoanaerobacteraceae,Thermoanaerobacterales,Clostridia,Firmicutes,Bacteria
ARMY01,Pseudoalteromonas piscicida ATCC 15057,Pseudoalteromonas,Pseudoalteromonadaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
AXBH01,Amycolatopsis thermoflava N1165,Amycolatopsis,Pseudonocardiaceae,Pseudonocardiales,Actinobacteria,Actinobacteria,Bacteria
AZAK01,Amycolatopsis halophila YIM 93223,Amycolatopsis,Pseudonocardiaceae,Pseudonocardiales,Actinobacteria,Actinobacteria,Bacteria
AXBG01,Sedimentitalea nanhaiensis DSM 24252,Sedimentitalea,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria
AUBM01,Actinomyces georgiae DSM 6843,Actinomyces,Actinomycetaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria
AUFQ01,Prevotella baroniae DSM 16972 = JCM 13447,Prevotella,Prevotellaceae,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteria
AXZG01,Rothia aeria F0184,Rothia,Micrococcaceae,Micrococcales,Actinobacteria,Actinobacteria,Bacteria
AZOB01,Pseudomonas oleovorans MOIL14HWK12,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
ALAN01,Bacillus vireti LMG 21834,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
AXBF01,Pseudophaeobacter arcticus DSM 23566,Pseudophaeobacter,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria
ARPK01,Amycolatopsis benzoatilytica AK 16/65,Amycolatopsis,Pseudonocardiaceae,Pseudonocardiales,Actinobacteria,Actinobacteria,Bacteria
AQUE01,alpha proteobacterium SCGC AAA280-P20,,,,Alphaproteobacteria,Proteobacteria,Bacteria
AQUF01,alpha proteobacterium SCGC AAA027-J10,,,,Alphaproteobacteria,Proteobacteria,Bacteria
AQUG01,alpha proteobacterium SCGC AAA027-L15,,,,Alphaproteobacteria,Proteobacteria,Bacteria
AQUH01,alpha proteobacterium SCGC AAA280-B11,,,,Alphaproteobacteria,Proteobacteria,Bacteria
AXBE01,Leisingera aquimarina DSM 24565,Leisingera,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria
AQZT01,Sphingomonas melonis DAPP-PG 224,Sphingomonas,Sphingomonadaceae,Sphingomonadales,Alphaproteobacteria,Proteobacteria,Bacteria
AHYW01,Enterococcus columbae DSM 7374 = ATCC 51263,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
ATYJ01,Methylobacter luteus IMV-B-3098,Methylobacter,Methylococcaceae,Methylococcales,Gammaproteobacteria,Proteobacteria,Bacteria
AJUN01,Syntrophorhabdus aromaticivorans UI,Syntrophorhabdus,Syntrophorhabdaceae,Syntrophobacterales,Deltaproteobacteria,Proteobacteria,Bacteria
ATXZ01,Caldanaerobius polysaccharolyticus DSM 13641,Caldanaerobius,Thermoanaerobacteraceae,Thermoanaerobacterales,Clostridia,Firmicutes,Bacteria
ATXW01,Rikenella microfusus DSM 15922,Rikenella,Rikenellaceae,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteria
AGYD01,Campylobacter ureolyticus ACS-301-V-Sch3b,Campylobacter,Campylobacteraceae,Campylobacterales,Epsilonproteobacteria,Proteobacteria,Bacteria
APQG01,Acinetobacter bereziniae CIP 70.12,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
APOM01,Acinetobacter parvus DSM 16617 = CIP 108168,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
ATXX01,Methylocaldum szegediense O-12,Methylocaldum,Methylococcaceae,Methylococcales,Gammaproteobacteria,Proteobacteria,Bacteria
AUCS01,Dermatophilus congolensis DSM 44180 = NBRC 105199,Dermatophilus,Dermatophilaceae,Micrococcales,Actinobacteria,Actinobacteria,Bacteria
ATYK01,Sphingomonas phyllosphaerae FA2,Sphingomonas,Sphingomonadaceae,Sphingomonadales,Alphaproteobacteria,Proteobacteria,Bacteria
ATYL01,Geminicoccus roseus DSM 18922,Geminicoccus,,,Alphaproteobacteria,Proteobacteria,Bacteria
AXBC01,Bradyrhizobium genosp. SA-4 str. CB756,Bradyrhizobium,Bradyrhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria
AXBD01,Leisingera daeponensis DSM 23529,Leisingera,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria
AUBT01,Alcaligenes faecalis subsp. phenolicus DSM 16503,Alcaligenes,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
ASWA01,Enterococcus malodoratus ATCC 43197,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
AJAL01,Enterococcus raffinosus ATCC 49464,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
ASVY01,Enterococcus haemoperoxidus ATCC BAA-382,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
AJAS01,Enterococcus moraviensis ATCC BAA-383,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
AOST01,Propionibacterium granulosum TM11,Propionibacterium,Propionibacteriaceae,Propionibacteriales,Actinobacteria,Actinobacteria,Bacteria
AJKU01,Cronobacter muytjensii ATCC 51329,Cronobacter,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,Bacteria
AWUP01,Coriobacteriaceae bacterium BV3Ac1,,Coriobacteriaceae,Coriobacteriales,Coriobacteriia,Actinobacteria,Bacteria
AWXD01,Peptoniphilus sp. BV3AC2,Peptoniphilus,Peptoniphilaceae,Clostridiales,Clostridia,Firmicutes,Bacteria
AWXB01,Peptoniphilus sp. BV3C26,Peptoniphilus,Peptoniphilaceae,Clostridiales,Clostridia,Firmicutes,Bacteria
AZKM01,Eubacterium nodatum ATCC 33099,,Clostridiales Family XIII. Incertae Sedis,Clostridiales,Clostridia,Firmicutes,Bacteria
AMWZ01,Peanut witches'-broom phytoplasma NTU2011,Candidatus Phytoplasma,Acholeplasmataceae,Acholeplasmatales,Mollicutes,Tenericutes,Bacteria
ARLC01,Streptomyces sulphureus DSM 40104,Streptomyces,Streptomycetaceae,Streptomycetales,Actinobacteria,Actinobacteria,Bacteria
ALVM01,Leptolyngbya boryana PCC 6306,Leptolyngbya,,Oscillatoriales,,Cyanobacteria,Bacteria
AQGJ01,[Clostridium] sordellii VPI 9048,Peptoclostridium,Peptostreptococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria
AXBA01,Azorhizobium doebereinerae UFLA1-100,Azorhizobium,Xanthobacteraceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria
AQPD01,alpha proteobacterium SCGC AAA027-C06,,,,Alphaproteobacteria,Proteobacteria,Bacteria
ATYR01,Massilia alkalitolerans DSM 17462,Massilia,Oxalobacteraceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
ATYS01,Budvicia aquatica DSM 5075 = ATCC 35567,Budvicia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,Bacteria
AZOD01,Ignatzschineria larvae DSM 13226,Ignatzschineria,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
AXAR01,Alicyclobacillus pomorum DSM 14955,Alicyclobacillus,Alicyclobacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
ATYV01,Corynebacterium sputi DSM 45148,Corynebacterium,Corynebacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
ATYW01,Glycomyces tenuis DSM 44171,Glycomyces,Glycomycetaceae,Glycomycetales,Actinobacteria,Actinobacteria,Bacteria
ATYX01,Thermocrispum agreste DSM 44070,Thermocrispum,Pseudonocardiaceae,Pseudonocardiales,Actinobacteria,Actinobacteria,Bacteria
AXAQ01,Mastigocoleus testarum BC008,Mastigocoleus,,Stigonematales,,Cyanobacteria,Bacteria
AOTS01,Flavobacterium sp. MS220-5C,Flavobacterium,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
NC_021171.1,Bacillus sp. 1NLA3E,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
AGEO01,Staphylococcus sp. HGB0015,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
AURA01,Leptospirillum sp. Group IV 'UBA BS',Leptospirillum,Nitrospiraceae,Nitrospirales,Nitrospira,Nitrospirae,Bacteria
ARMU01,Nocardia sp. BMG111209,Nocardia,Nocardiaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
ARMI01,Nocardiopsis sp. CNS639,Nocardiopsis,Nocardiopsaceae,Streptosporangiales,Actinobacteria,Actinobacteria,Bacteria
AUKH01,Gillisia sp. JM1,Gillisia,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
ARFK01,Methylophilus sp. 1,Methylophilus,Methylophilaceae,Methylophilales,Betaproteobacteria,Proteobacteria,Bacteria
AXAN01,Burkholderia mimosarum LMG 23256,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
NC_020813.1,Bdellovibrio exovorus JSS,Bdellovibrio,Bdellovibrionaceae,Bdellovibrionales,Deltaproteobacteria,Proteobacteria,Bacteria
NC_020802.1,Psychromonas sp. CNPT3,Psychromonas,Psychromonadaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
ARIS01,Thiomonas sp. FB-6,Thiomonas,,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
ATYD01,Rhodanobacter sp. OR444,Rhodanobacter,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
AQTY01,Nitrospina sp. SCGC AAA288-L16,Nitrospina,Nitrospinaceae,Nitrospinales,Nitrospinia,Nitrospinae,Bacteria
AGEQ01,Paenisporosarcina sp. HGH0030,Paenisporosarcina,Planococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
ATYE01,Sediminibacterium sp. OR43,Sediminibacterium,Chitinophagaceae,Sphingobacteriales,Sphingobacteriia,Bacteroidetes,Bacteria
ATCH01,Atopobium sp. oral taxon 199 str. F0494,Atopobium,Atopobiaceae,Coriobacteriales,Coriobacteriia,Actinobacteria,Bacteria
AUEW01,Cellulomonas sp. URHD0024,Cellulomonas,Cellulomonadaceae,Micrococcales,Actinobacteria,Actinobacteria,Bacteria
AUEL01,Mesorhizobium sp. URHA0056,Mesorhizobium,Phyllobacteriaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria
AZIS01,Propionimicrobium sp. BV2F7,Propionimicrobium,Propionibacteriaceae,Propionibacteriales,Actinobacteria,Actinobacteria,Bacteria
ARAJ01,zeta proteobacterium SCGC AB-604-B04,,,,Zetaproteobacteria,Proteobacteria,Bacteria
ARAK01,zeta proteobacterium SCGC AB-137-C09,,,,Zetaproteobacteria,Proteobacteria,Bacteria
ARAL01,zeta proteobacterium SCGC AB-137-J06,,,,Zetaproteobacteria,Proteobacteria,Bacteria
AQUP01,zeta proteobacterium SCGC AB-604-O16,,,,Zetaproteobacteria,Proteobacteria,Bacteria
ARAN01,zeta proteobacterium SCGC AB-133-C04,,,,Zetaproteobacteria,Proteobacteria,Bacteria
ARAO01,zeta proteobacterium SCGC AB-137-I08,,,,Zetaproteobacteria,Proteobacteria,Bacteria
ARAP01,zeta proteobacterium SCGC AB-133-G06,,,,Zetaproteobacteria,Proteobacteria,Bacteria
ARAQ01,zeta proteobacterium SCGC AB-602-C20,,,,Zetaproteobacteria,Proteobacteria,Bacteria
AQUQ01,Verrucomicrobia bacterium SCGC AB-629-E09,,,,,Verrucomicrobia,Bacteria
ATZA01,Olivibacter sitiensis DSM 17696,Olivibacter,Sphingobacteriaceae,Sphingobacteriales,Sphingobacteriia,Bacteroidetes,Bacteria
AXAM01,Desulfosarcina sp. BuS5,Desulfosarcina,Desulfobacteraceae,Desulfobacterales,Deltaproteobacteria,Proteobacteria,Bacteria
AQYZ01,actinobacterium SCGC AAA024-D14,,,,Actinobacteria,Actinobacteria,Bacteria
AXWZ01,Variovorax sp. JGI 0001020-M05,Variovorax,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
BARL01,Gluconobacter frateurii NBRC 103465,Gluconobacter,Acetobacteraceae,Rhodospirillales,Alphaproteobacteria,Proteobacteria,Bacteria
AMXY01,Xanthomonas translucens DAR61454,Xanthomonas,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
AOSO01,Microbacterium sp. UCD-TDU,Microbacterium,Microbacteriaceae,Micrococcales,Actinobacteria,Actinobacteria,Bacteria
ARBE01,Cupriavidus sp. UYPR2.512,Cupriavidus,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
ATZB01,Rhizobium sullae WSM1592,Rhizobium,Rhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria
ARBU01,Mycobacterium hassiacum DSM 44199,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
ATZF01,Shimazuella kribbensis DSM 45090,Shimazuella,Thermoactinomycetaceae,Bacillales,Bacilli,Firmicutes,Bacteria
AXAC01,Acetobacterium dehalogenans DSM 11527,Acetobacterium,Eubacteriaceae,Clostridiales,Clostridia,Firmicutes,Bacteria
AXAA01,Caloramator sp. ALD01,Caloramator,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria
ARMR01,Moritella marina ATCC 15381,Moritella,Moritellaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
