NCBI accession number,name of the virus,name of the host,genus of host,family of host,order of host,class of host,phylum of host,domain of host
NC_028855,"Acinetobacter phage YMC11/12/R2315, complete genome",Acinetobacter sp.,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028995,"Acinetobacter phage phiAC-1, complete genome",Acinetobacter soli KZ-1,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028887,"Bacillus phage AvesoBmore, complete genome",Bacillus thuringiensis subsp. kurstaki,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_028944,"Bacillus phage Eyuki, complete genome",Bacillus thuringiensis kurstaki,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_028982,"Bacillus phage JL, complete genome",Bacillus cereus,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_028926,"Bacillus phage Palmer, complete genome",Bacillus megaterium strain Km Sp-,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_028782,"Bacillus phage Pavlov, complete genome",Bacillus megaterium,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_028983,"Bacillus phage Shanette, complete genome",Bacillus cereus,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_028856,"Bacillus phage Stahl, complete genome",Bacillus megaterium Km Sp-,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_028777,"Bacillus phage Stills, complete genome",Bacillus megaterium Km Sp-,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_028890,"Bacillus phage TsarBomba, complete genome",Bacillus thuringiensis subsp. kurstaki,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_028789,"Bacillus phage VMY22, complete genome",Bacillus cereus MYB41-22,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_028886,"Bacillus phage phi4B1, complete genome",Bacillus thuringiensis 4B1,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_029008,"Bacillus phage phi4J1, complete genome",Bacillus thuringiensis 4J1,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_028748,"Bacillus phage vB_BtS_BMBtp3, complete genome",Bacillus thuringiensis serovar tenebrionis strain,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_029024,"Bacillus phage 250, complete genome",Bacillus cereus,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_028841,"Bacteriophage Lily, complete genome",Paenibacillus larvae ATCC 9545,Paenibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_029029,"Brevibacillus phage Abouo, complete genome",Brevibacillus laterosporus,Brevibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_028805,"Brevibacillus phage Jenst, complete genome",Brevibacillus laterosporus,Brevibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_028969,"Brevibacillus phage Osiris, complete genome",Brevibacillus laterosporus,Brevibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_028749,"Brevibacillus phage Sundance, complete genome",Brevibacillus laterosporus,Brevibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_029013,"Citrobacter phage IME-CF2, complete genome",Citrobacter freundii,Citrobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028755,"Citrobacter phage Margaery, complete genome",Citrobacter sp.,Citrobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028857,"Citrobacter phage Merlin, complete genome",Citrobacter freundii,Citrobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028880,"Citrobacter phage phiCFP-1, complete genome",Citrobacter freundii P10159,Citrobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_029006,"Clostridium phage phiCT19406C, complete genome",Clostridium tetani ATCC 19406,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria
NC_028991,"Clostridium phage phiCT453A, complete genome",Clostridium tetani ATCC 453,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria
NC_029004,"Clostridium phage phiCT453B, complete genome",Clostridium tetani ATCC 453,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria
NC_029022,"Clostridium phage phiCT9441A, complete genome",Clostridium tetani ATCC 9441,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria
NC_028773,"Cronobacter phage S13, complete genome",Cronobacter sakazakii ATCC 29544,Cronobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028795,"Enterobacter phage E-3, complete genome",Enterobacter cloacae,Enterobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028772,"Enterobacter phage phiEap-1, complete genome",Enterobacter aerogenes,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_029021,"Enterobacteria phage JenK1, complete genome",Escherichia coli K-12 MG1655,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_029028,"Enterobacteria phage JenP1, complete genome",Escherichia coli K-12 MG1655,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028997,"Enterobacteria phage JenP2, complete genome",Escherichia coli K-12 MG1655,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028881,"Enterobacteria phage vB_EcoM_VR5, complete genome",Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_029009,"Enterococcus phage EFDG1, complete genome",Enterococcus faecalis,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_029026,"Enterococcus phage EFLK1, complete genome",Enterococcus faecalis,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_028826,"Enterococcus phage IME-EFm5, complete genome",Enterococcus faecium,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_028990,"Enterococcus phage vB_EfaS_IME196, complete genome",Enterococcus faecalis 2007,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_029016,"Enterococcus phage vB_EfaS_IME198, complete genome",Enterococcus faecalis 2008,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_028903,"Escherichia phage 172-1, complete genome",Escherichia coli 172,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028776,"Enterobacteria phage CAjan, complete genome",Escherichia coli K12 MG1655,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028872,"Escherichia phage HY02, complete genome",Escherichia coli O157:H7,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_029023,"Escherichia phage JH2, complete genome",Escherichia coli VN2-O8:F4 ETEC,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028822,"Escherichia phage P483, complete genome",Escherichia coli DE48,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028863,"Escherichia phage P694, complete genome",Escherichia coli DE69,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028847,"Enterobacteria phage QL01, complete genome",NA,NA,NA,NA,NA,NA,NA
NC_028808,"Escherichia phage SUSP1, complete genome",Escherichia coli MG1655,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028935,"Escherichia phage SUSP2, complete genome",Escherichia coli MG1655,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028896,"Escherichia phage pro147, complete genome",Escherichia coli DE048,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028943,"Escherichia phage pro483, complete genome",Escherichia coli DE048,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028825,"Escherichia phage vB_EcoM_AYO145A, complete genome",Escherichia coli O145:NM,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028894,"Enterobacteria phage vB_EcoM_VR20, complete genome",Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028925,"Enterobacteria phage vB_EcoM_VR25, complete genome",Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028957,"Enterobacteria phage vB_EcoM_VR26, complete genome",Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028902,"Enterobacteria phage FI 4184 b, complete genome",NA,NA,NA,NA,NA,NA,NA
NC_028993,"Gokushovirinae GAIR4, complete sequence",NA,NA,NA,NA,NA,NA,NA
NC_028994,"Gokushovirinae GNX3R, complete sequence",NA,NA,NA,NA,NA,NA,NA
NC_028972,"Gordonia phage Gmala1, complete genome",Gordonia sp.,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028786,"Klebsiella phage 1513, complete genome",Klebsiella pneumoniae KP 1513,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028800,"Klebsiella phage K5, complete genome",Klebsiella pneumoniae KSM 5-1,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028760,"Klebsiella phage KLPN1, complete genome",Klebsiella pneumoniae subsp. pneumoniae L4-FAA5,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028750,"Klebsiella phage Matisse, complete genome",Klebsiella pneumoniae,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028774,"Klebsiella phage Sushi, complete genome",Klebsiella pneumoniae,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028816,"Klebsiella phage vB_KpnP_SU503, complete genome",Klebsiella pneumoniae 07RAFM-KPN-503,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028870,"Klebsiella phage vB_KpnP_SU552A, complete genome",Klebsiella pneumoniae 07RAFM-KPN-552,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028888,"Lactobacillus phage CL1, complete genome",Lactobacillus paracasei,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_028835,"Lactobacillus phage CL2, complete genome",Lactobacillus paracasei,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_028830,"Lactobacillus phage iA2, complete genome",Lactobacillus paracasei,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_028911,"Lactobacillus phage iLp1308, complete genome",Lactobacillus paracasei,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_028783,"Lactobacillus phage iLp84, complete genome",Lactobacillus paracasei,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_028900,"Lactococcus phage SL4, complete genome",Lactococcus lactis SMQ-404,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_028871,"Listeria phage vB_LmoS_188, complete genome",Listeria monocytogenes,Listeria,Listeriaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_028929,"Listeria phage vB_LmoS_293, complete genome",Listeria monocytogenes,Listeria,Listeriaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_028766,"Mannheimia phage vB_MhM_3927AP2, complete genome",Mannheimia haemolytica 3927A,Mannheimia,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028898,"Mannheimia phage vB_MhM_587AP1, complete genome",Mannheimia haemolytica 587A serotype A2,Mannheimia,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028956,"Mannheimia phage vB_MhS_1152AP2, complete genome",Mannheimia haemolytica 1152A serotype A6,Mannheimia,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_028853,"Mannheimia phage vB_MhS_535AP2, complete genome",Mannheimia haemolytica 535A serotype A1,Mannheimia,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_029002,"Microcystis phage MaMV-DC, complete genome",Microcystis aeruginosa,Microcystis,Microcystaceae,Chroococcales,NA,Cyanobacteria,Bacteria
NC_028920,"Mycobacterium phage Abrogate, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028986,"Mycobacterium phage Alice, complete sequence",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_029018,"Mycobacterium phage Anubis, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028878,"Mycobacterium phage Archie, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028876,"Mycobacterium phage Ariel, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028804,"Mycobacterium phage Barriga, complete genome",Mycobacterium smegmatis mc2155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028823,"Mycobacterium phage Bipolar, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028968,"Mycobacterium phage BrownCNA, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028747,"Mycobacterium phage Brusacoram, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028922,"Mycobacterium phage Cambiare, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028842,"Mycobacterium phage CaptainTrips, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028779,"Mycobacterium phage Carcharodon, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028897,"Mycobacterium phage Chadwick, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028979,"Mycobacterium phage Cheetobro, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028946,"Mycobacterium phage Dante, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028936,"Mycobacterium phage Enkosi, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028852,"Mycobacterium phage Equemioh13, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028861,"Mycobacterium phage FlagStaff, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028889,"Mycobacterium phage Florinda, complete genome",Mycobacterium smegmatis mc2155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028869,"Mycobacterium phage HyRo, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028907,"Mycobacterium phage Kikipoo, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028792,"Mycobacterium phage Kimberlium, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028947,"Mycobacterium phage Kratio, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028877,"Mycobacterium phage Larenn, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028923,"Mycobacterium phage Llama, complete genome",Mycobacteruim smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028843,"Mycobacterium phage Lolly9, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028849,"Mycobacterium phage Luchador, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028791,"Mycobacterium phage MOOREtheMARYer, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028798,"Mycobacterium phage MarQuardt, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028953,"Mycobacterium phage MiaZeal, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028759,"Mycobacterium phage Mufasa, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028978,"Mycobacterium phage Murucutumbu, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028785,"Mycobacterium phage NelitzaMV, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028928,"Mycobacterium phage Nerujay, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028815,"Mycobacterium phage Nhonho, complete genome",Mycobacterium smegmatis mc2155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028803,"Mycobacterium phage OSmaximus, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028832,"Mycobacteriophage Omnicron, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028937,"Mycobacterium phage Ovechkin, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028874,"Mycobacterium phage Pari, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028844,"Mycobacterium phage Phatniss, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028796,"Mycobacterium phage Phayonce, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028942,"Mycobacterium phage Phipps, complete sequence",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028965,"Mycobacterium phage Pioneer, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028794,"Mycobacterium phage Piro94, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028961,"Mycobacterium phage PopTart, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028751,"Mycobacterium phage Quico, complete genome",Mycobacterium smegmatis mc2155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028810,"Mycobacterium phage Rufus, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028813,"Mycobacterium phage Seagreen, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028932,"Mycobacterium phage Serenity, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028846,"Mycobacterium phage ShedlockHolmes, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028914,"Mycobacterium phage Sheen, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028860,"Mycobacterium phage Smeadley, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028778,"Mycobacterium phage Snenia, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028912,"Mycobacterium phage Swirley, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028784,"Mycobacterium phage Tasp14, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028960,"Mycobacterium phage Theia, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028828,"Mycobacterium phage TheloniousMonk, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028757,"Mycobacterium phage Tiffany, complete genome",Mycobacterum smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028906,"Mycobacterium phage Toto, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028941,"Mycobacterium phage Turj99, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028802,"Mycobacterium phage UnionJack, complete genome",Mycobacterum smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028934,"Mycobacterium phage Vincenzo, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028801,"Mycobacterium phage Vortex, complete sequence",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028910,"Mycobacterium phage XFactor, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_028788,"Bacteriophage Diva, complete genome",Paenibacillus larvae ATCC 9545,Paenibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_028851,"Paenibacillus phage Fern, complete genome",Paenibacillus larvae NRRL 2605,Paenibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_028758,"Paenibacillus phage HB10c2, complete genome",Paenibacillus larvae,Paenibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_028746,"Paenibacillus phage Harrison, complete genome",Paenibacillus larvae NRRL 2605,Paenibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_028854,"Bacteriophage Sitara, complete genome",Paenibacillus larvae ATCC 25747,Paenibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_028930,"Paenibacillus phage Tripp, complete genome",Paenibacillus larvae ATCC 9545,Paenibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_028767,"Paenibacillus phage Vegas, complete genome",Paenibacillus larvae NRRL 2605,Paenibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_028837,"Paenibacillus phage Xenia, complete genome",Paenibacillus larvae NRRL 2605,Paenibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_029012,"Parabacteroides phage YZ-2015a, complete genome",Parabacteroides distasonis,Parabacteroides,Tannerellaceae,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteria
NC_029014,"Parabacteroides phage YZ-2015b, complete genome",Parabacteroides merdae,Parabacteroides,Tannerellaceae,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteria
NC_028940,"Pectobacterium bacteriophage PM2, complete genome",NA,NA,NA,NA,NA,NA,NA
